Date,Close_CAC40,High_CAC40,Low_CAC40,Open_CAC40,Volume_CAC40
2018-01-01,5481.93017578125,5567.02978515625,5258.66015625,5318.740234375,1704206200
2018-02-01,5320.490234375,5529.39990234375,5051.2099609375,5510.58984375,1907980900
2018-03-01,5167.2998046875,5315.77001953125,5038.1201171875,5304.81005859375,1942703700
2018-04-01,5520.5,5521.43994140625,5094.68994140625,5144.6298828125,1541886100
2018-05-01,5398.39990234375,5657.43994140625,5381.3798828125,5511.4599609375,1845359900
2018-06-01,5323.52978515625,5560.6201171875,5246.41015625,5440.419921875,1879379700
2018-07-01,5511.2998046875,5529.02978515625,5242.64013671875,5264.39990234375,1735657900
2018-08-01,5406.85009765625,5539.41015625,5287.18017578125,5520.330078125,1536912100
2018-09-01,5493.490234375,5546.7998046875,5226.31005859375,5400.7001953125,1734350200
2018-10-01,5093.43994140625,5519.93994140625,4896.7998046875,5494.93017578125,2255277300
2018-11-01,5003.919921875,5168.10986328125,4894.2998046875,5076.5498046875,1852211300
2018-12-01,4730.68994140625,5115.1298828125,4555.990234375,5112.580078125,1797889100
2019-01-01,4992.72021484375,5016.27978515625,4606.2001953125,4642.18017578125,1758500300
2019-02-01,5240.52978515625,5248.5,4946.14013671875,5004.64990234375,1689065900
2019-03-01,5350.52978515625,5443.10009765625,5211.759765625,5267.14013671875,1759062500
2019-04-01,5586.41015625,5601.3798828125,5376.18017578125,5394.5,1552386000
2019-05-01,5207.6298828125,5573.16015625,5160.91015625,5568.2001953125,1891335300
2019-06-01,5538.97021484375,5582.240234375,5152.2998046875,5171.60986328125,1676802200
2019-07-01,5518.89990234375,5672.77001953125,5496.77001953125,5584.1298828125,1533760900
2019-08-01,5480.47998046875,5563.64990234375,5170.77001953125,5500.91015625,1755063200
2019-09-01,5677.7900390625,5696.25,5441.18017578125,5483.43017578125,1726466100
2019-10-01,5729.85986328125,5778.240234375,5393.490234375,5696.2001953125,1890277500
2019-11-01,5905.169921875,5966.7900390625,5739.7001953125,5749.47998046875,1583901400
2019-12-01,5978.06005859375,6065.0,5697.06005859375,5910.1201171875,1455227900
2020-01-01,5806.33984375,6109.81005859375,5799.0400390625,6016.60986328125,1644181800
2020-02-01,5309.89990234375,6111.41015625,5229.56005859375,5822.0400390625,2250355600
2020-03-01,4396.1201171875,5509.27978515625,3632.06005859375,5416.02001953125,4755485900
2020-04-01,4572.18017578125,4719.740234375,4142.27978515625,4259.93994140625,2246106400
2020-05-01,4695.43994140625,4784.08984375,4194.580078125,4413.14013671875,2185653500
2020-06-01,4935.990234375,5213.669921875,4691.81005859375,4776.72021484375,2765448100
2020-07-01,4783.68994140625,5172.97998046875,4783.68994140625,4939.7998046875,1968206500
2020-08-01,4947.22021484375,5096.52978515625,4763.60009765625,4797.06005859375,1492673300
2020-09-01,4803.43994140625,5131.39013671875,4666.259765625,4974.419921875,2111670300
2020-10-01,4594.240234375,4998.509765625,4512.56982421875,4850.2001953125,1398836100
2020-11-01,5518.5498046875,5612.759765625,4581.85986328125,4614.9501953125,246374100
2020-12-01,5551.41015625,5625.60009765625,5306.580078125,5542.4599609375,709171000
2021-01-01,5399.2099609375,5721.89013671875,5379.22021484375,5614.0400390625,1890232300
2021-02-01,5703.22021484375,5834.35986328125,5429.77978515625,5441.43017578125,1653472600
2021-03-01,6067.22998046875,6097.740234375,5755.60009765625,5770.89013671875,1790816900
2021-04-01,6269.47998046875,6352.35986328125,6063.85986328125,6079.669921875,1131002300
2021-05-01,6447.169921875,6496.31982421875,6150.43017578125,6285.509765625,1406929000
2021-06-01,6507.830078125,6687.2900390625,6464.7099609375,6470.419921875,1498795900
2021-07-01,6612.759765625,6671.1201171875,6253.25,6549.81982421875,1235050200
2021-08-01,6680.18017578125,6913.669921875,6560.740234375,6657.9501953125,1307673500
2021-09-01,6520.009765625,6784.66015625,6389.6201171875,6736.43994140625,1895499000
2021-10-01,6830.33984375,6830.33984375,6412.7001953125,6421.10009765625,1580696700
2021-11-01,6721.16015625,7183.080078125,6655.85986328125,6870.27978515625,1852987900
2021-12-01,7153.02978515625,7201.64990234375,6730.6298828125,6774.7998046875,1611308500
2022-01-01,6999.2001953125,7384.85986328125,6754.240234375,7197.39990234375,1499396000
2022-02-01,6658.830078125,7169.6298828125,6432.89013671875,7052.2998046875,1777814500
2022-03-01,6659.8701171875,6829.39990234375,5756.3798828125,6646.16015625,2934718800
2022-04-01,6533.77001953125,6757.75,6338.60986328125,6672.97998046875,1549959400
2022-05-01,6468.7998046875,6582.0498046875,6086.02001953125,6469.31005859375,1952982700
2022-06-01,5922.85986328125,6593.14990234375,5830.8701171875,6509.18994140625,1761847100
2022-07-01,6448.5,6472.27001953125,5786.5,5875.60009765625,1588082500
2022-08-01,6125.10009765625,6608.830078125,6125.10009765625,6447.18017578125,1480950600
2022-09-01,5762.33984375,6394.18017578125,5628.419921875,6068.33984375,1789764900
2022-10-01,6266.77001953125,6293.14990234375,5654.43994140625,5697.47021484375,1530909300
2022-11-01,6738.5498046875,6743.60009765625,6191.72998046875,6329.759765625,1663727000
2022-12-01,6473.759765625,6823.10009765625,6388.22998046875,6784.60009765625,1448945200
2023-01-01,7082.419921875,7117.52978515625,6518.2099609375,6521.06982421875,1456704600
2023-02-01,7267.93017578125,7387.2900390625,7059.60986328125,7087.2001953125,1563441300
2023-03-01,7322.39013671875,7401.14990234375,6796.2099609375,7279.33984375,1805593600
2023-04-01,7491.5,7581.259765625,7300.330078125,7341.68994140625,1218351300
2023-05-01,7098.7001953125,7523.56005859375,7083.60009765625,7466.81982421875,1411849900
2023-06-01,7400.06005859375,7419.35986328125,7090.4599609375,7139.39013671875,1185789100
2023-07-01,7497.77978515625,7526.0498046875,7052.77001953125,7415.169921875,1060306800
2023-08-01,7316.7001953125,7499.52978515625,7092.72021484375,7478.10009765625,1119864900
2023-09-01,7135.06005859375,7435.35986328125,7033.830078125,7310.68017578125,1063649400
2023-10-01,6885.64990234375,7197.0,6773.81982421875,7164.0498046875,1186296700
2023-11-01,7310.77001953125,7321.47021484375,6873.5498046875,6914.31982421875,1155031400
2023-12-01,7543.18017578125,7653.990234375,7313.18994140625,7336.5498046875,1023563200
2024-01-01,7656.75,7702.9501953125,7281.10009765625,7577.330078125,1134390000
2024-02-01,7927.43017578125,7977.68017578125,7558.22998046875,7590.14990234375,1288344100
2024-03-01,8205.8095703125,8253.58984375,7900.47998046875,7950.66015625,1173789100
2024-04-01,7984.93017578125,8253.0498046875,7899.35986328125,8195.650390625,1232523700
2024-05-01,7992.8701171875,8259.1904296875,7908.6298828125,7954.009765625,1176827100
2024-06-01,7479.39990234375,8072.31005859375,7456.47021484375,8069.6201171875,1588907500
2024-07-01,7531.490234375,7746.06005859375,7341.25,7673.47998046875,1201845400
2024-08-01,7630.9501953125,7693.81982421875,7029.91015625,7478.14013671875,1117142300
2024-09-01,7635.75,7804.64013671875,7341.93017578125,7628.85986328125,1244898600
2024-10-01,7350.3701171875,7654.580078125,7315.97021484375,7623.330078125,1387062300
2024-11-01,7235.10986328125,7572.14013671875,7091.14990234375,7364.080078125,1435325600
2024-12-01,7380.740234375,7511.02001953125,7146.02001953125,7147.3701171875,1471883500
2025-01-01,7950.169921875,7996.41015625,7270.56982421875,7374.58984375,1541152800
2025-02-01,8111.6298828125,8225.1298828125,7785.8701171875,7786.31982421875,1667721300
2025-03-01,7790.7099609375,8257.8798828125,7753.740234375,8139.1298828125,1855795000
2025-04-01,7593.8701171875,7884.35009765625,6763.759765625,7837.4501953125,1931159400
2025-05-01,7751.89013671875,7955.52978515625,7613.2001953125,7710.080078125,1349911400
2025-06-01,7794.60986328125,7848.08984375,7668.89990234375,7714.91015625,178305400
