Date,Close_STOXX600,High_STOXX600,Low_STOXX600,Open_STOXX600,Volume_STOXX600
2020-01-03,418.3299865722656,418.7300109863281,415.5799865722656,418.7300109863281,149647500
2020-01-06,416.6300048828125,417.3399963378906,412.6300048828125,417.3399963378906,151853000
2020-01-07,417.6700134277344,419.7300109863281,416.3500061035156,417.25,153736700
2020-01-08,418.3599853515625,418.6300048828125,415.1300048828125,416.9100036621094,181395100
2020-01-09,419.6400146484375,421.42999267578125,419.1600036621094,419.260009765625,193931100
2020-01-10,419.1400146484375,420.8500061035156,419.1400146484375,420.20001220703125,165853000
2020-01-13,418.3900146484375,420.0,417.260009765625,418.7300109863281,166725600
2020-01-14,419.5899963378906,419.5899963378906,415.6099853515625,418.45001220703125,181115200
2020-01-15,419.6300048828125,420.010009765625,418.19000244140625,419.57000732421875,196390300
2020-01-16,420.5400085449219,421.29998779296875,419.04998779296875,420.0,80913800
2020-01-17,424.55999755859375,424.8999938964844,421.3399963378906,421.3399963378906,174188200
2020-01-20,423.9800109863281,424.4800109863281,423.07000732421875,424.0199890136719,107860400
2020-01-21,423.3800048828125,423.3800048828125,419.7900085449219,422.9800109863281,165562200
2020-01-22,423.0400085449219,424.94000244140625,422.57000732421875,423.510009765625,178126300
2020-01-23,420.0299987792969,422.5400085449219,419.3699951171875,422.5299987792969,182917800
2020-01-24,423.6400146484375,425.3599853515625,421.010009765625,421.010009765625,173980700
2020-01-27,414.07000732421875,420.55999755859375,413.4700012207031,420.55999755859375,203735500
2020-01-28,417.55999755859375,417.8900146484375,413.1600036621094,414.3699951171875,176695200
2020-01-29,419.4100036621094,420.0899963378906,417.75,417.9200134277344,175283900
2020-01-30,415.1600036621094,417.5199890136719,414.0199890136719,417.5199890136719,206815500
2020-01-31,410.7099914550781,416.989990234375,410.42999267578125,415.9800109863281,238102500
2020-02-03,411.7200012207031,413.1600036621094,410.19000244140625,410.9599914550781,182184000
2020-02-04,418.4700012207031,418.489990234375,412.2099914550781,412.2099914550781,206100300
2020-02-05,423.6199951171875,424.2699890136719,417.55999755859375,417.989990234375,244720200
2020-02-06,425.489990234375,426.70001220703125,424.1600036621094,425.1000061035156,228035100
2020-02-07,424.3599853515625,425.4100036621094,422.95001220703125,425.4100036621094,208740100
2020-02-10,424.6400146484375,424.6700134277344,422.239990234375,423.69000244140625,160073400
2020-02-11,428.4800109863281,429.0199890136719,425.82000732421875,425.82000732421875,197702000
2020-02-12,431.1600036621094,431.1600036621094,428.8500061035156,429.0,195616500
2020-02-13,431.0799865722656,431.0799865722656,426.3399963378906,430.6000061035156,227961100
2020-02-14,430.5199890136719,432.260009765625,430.1300048828125,431.2099914550781,167725200
2020-02-17,431.9800109863281,432.4800109863281,431.0400085449219,431.1300048828125,0
2020-02-18,430.3299865722656,431.3500061035156,428.55999755859375,430.5400085449219,228610300
2020-02-19,433.8999938964844,433.8999938964844,431.44000244140625,431.44000244140625,182531600
2020-02-20,430.19000244140625,433.5400085449219,430.19000244140625,433.3599853515625,210644200
