Date,Close_STOXX600,High_STOXX600,Low_STOXX600,Open_STOXX600,Volume_STOXX600
2018-01-01,395.4599914550781,403.7200012207031,386.7799987792969,389.1499938964844,4414670700
2018-02-01,379.6300048828125,398.5,367.5,396.42999267578125,4563697300
2018-03-01,370.8699951171875,380.1099853515625,362.0400085449219,378.6499938964844,4761109700
2018-04-01,385.32000732421875,385.6000061035156,364.3599853515625,369.7099914550781,4001420700
2018-05-01,383.05999755859375,397.8599853515625,382.1400146484375,385.4200134277344,5329248500
2018-06-01,379.92999267578125,393.9599914550781,374.3800048828125,383.3500061035156,4898417700
2018-07-01,391.6099853515625,392.69000244140625,375.2200012207031,378.5899963378906,3686458400
2018-08-01,382.260009765625,392.260009765625,378.7300109863281,391.80999755859375,3675091700
2018-09-01,383.17999267578125,386.6199951171875,371.8900146484375,381.9200134277344,3756703600
2018-10-01,361.6099853515625,384.8299865722656,348.44000244140625,383.17999267578125,4636643000
2018-11-01,357.489990234375,369.1199951171875,349.2900085449219,361.7300109863281,4369953900
2018-12-01,337.6499938964844,364.8900146484375,327.3399963378906,359.55999755859375,4010016100
2019-01-01,358.6700134277344,360.510009765625,331.79998779296875,335.8599853515625,3935024300
2019-02-01,372.79998779296875,374.1099853515625,357.30999755859375,359.0199890136719,3844484400
2019-03-01,379.0899963378906,385.3299865722656,369.75,373.4800109863281,4272524500
2019-04-01,391.3500061035156,392.2200012207031,379.7200012207031,379.7200012207031,3655958900
2019-05-01,369.05999755859375,391.7799987792969,366.6400146484375,391.4599914550781,4370401300
2019-06-01,384.8699951171875,387.8699951171875,365.7699890136719,368.7900085449219,3822333900
2019-07-01,385.7699890136719,395.1000061035156,384.4599914550781,385.3399963378906,3994185300
2019-08-01,379.4800109863281,387.9200134277344,361.07000732421875,384.92999267578125,4371274100
2019-09-01,393.1499938964844,393.6700134277344,378.1499938964844,379.8800048828125,4167228400
2019-10-01,396.75,399.8800048828125,374.6600036621094,393.3500061035156,4634906100
2019-11-01,407.42999267578125,410.3900146484375,397.3399963378906,397.3399963378906,3914857000
2019-12-01,415.8399963378906,420.7200012207031,397.17999267578125,407.4800109863281,3687903800
2020-01-01,410.7099914550781,425.3599853515625,410.42999267578125,416.5,3747876800
2020-02-01,375.6499938964844,433.8999938964844,371.20001220703125,410.9599914550781,4717665900
2020-03-01,320.05999755859375,389.1000061035156,268.57000732421875,378.7300109863281,9781539200
2020-04-01,340.0299987792969,349.2200012207031,306.5799865722656,316.3500061035156,5778662500
2020-05-01,350.3599853515625,356.04998779296875,322.8699951171875,338.7099914550781,5685330700
2020-06-01,360.3399963378906,375.5199890136719,344.9100036621094,351.8299865722656,6506693200
2020-07-01,356.3299865722656,380.260009765625,356.2799987792969,360.80999755859375,4493206100
2020-08-01,366.510009765625,375.4800109863281,355.2099914550781,356.3800048828125,3472143000
2020-09-01,361.0899963378906,375.9200134277344,351.239990234375,367.29998779296875,4378642700
2020-10-01,342.3599853515625,373.5799865722656,338.57000732421875,361.9100036621094,4457050500
2020-11-01,389.3599853515625,393.8699951171875,341.3399963378906,343.20001220703125,5990354800
2020-12-01,399.0299987792969,403.260009765625,381.6300048828125,389.9800109863281,4414589500
2021-01-01,395.8500061035156,413.9800109863281,394.3999938964844,400.5899963378906,4120573200
2021-02-01,404.989990234375,420.57000732421875,397.0799865722656,397.0799865722656,4375370400
2021-03-01,429.6000061035156,431.760009765625,407.1400146484375,408.25,4851670900
2021-04-01,437.3900146484375,443.6099853515625,429.6099853515625,429.6099853515625,3529714100
2021-05-01,446.760009765625,450.07000732421875,430.32000732421875,437.8699951171875,3913126100
2021-06-01,452.8399963378906,460.510009765625,447.5799865722656,447.5799865722656,3727672100
2021-07-01,461.739990234375,464.30999755859375,442.1300048828125,453.5899963378906,3353233300
2021-08-01,470.8800048828125,476.1600036621094,462.3999938964844,462.3999938964844,3214970700
