Date,Close_EUROSTOXX50,High_EUROSTOXX50,Low_EUROSTOXX50,Open_EUROSTOXX50,Volume_EUROSTOXX50
2018-01-01,3609.2900390625,3687.219970703125,3469.22998046875,3506.5,805723400
2018-02-01,3438.9599609375,3636.219970703125,3306.659912109375,3616.159912109375,939375200
2018-03-01,3361.5,3448.6298828125,3261.860107421875,3429.9599609375,883934200
2018-04-01,3536.52001953125,3538.169921875,3300.5,3349.02001953125,644611700
2018-05-01,3406.64990234375,3596.199951171875,3391.010009765625,3536.419921875,1071246100
2018-06-01,3395.60009765625,3540.639892578125,3340.85009765625,3420.840087890625,934147200
2018-07-01,3525.489990234375,3536.8701171875,3345.090087890625,3375.56005859375,659788000
2018-08-01,3392.89990234375,3531.610107421875,3349.139892578125,3527.820068359375,699098000
2018-09-01,3399.199951171875,3452.409912109375,3274.39990234375,3391.820068359375,805876300
2018-10-01,3197.510009765625,3425.449951171875,3090.85009765625,3399.9599609375,934508100
2018-11-01,3173.1298828125,3263.719970703125,3100.77001953125,3196.1298828125,771053200
2018-12-01,3001.419921875,3244.97998046875,2908.699951171875,3187.330078125,837031100
2019-01-01,3159.429931640625,3177.10009765625,2936.760009765625,2982.800048828125,753291600
2019-02-01,3298.260009765625,3301.02001953125,3124.6201171875,3162.4599609375,756865600
2019-03-01,3351.7099609375,3422.340087890625,3273.679931640625,3306.590087890625,832301600
2019-04-01,3514.6201171875,3515.14990234375,3353.669921875,3353.669921875,700858500
2019-05-01,3280.429931640625,3514.6201171875,3258.0400390625,3514.6201171875,910607700
2019-06-01,3473.68994140625,3496.7900390625,3248.5400390625,3274.969970703125,714701500
2019-07-01,3466.85009765625,3573.570068359375,3455.1298828125,3476.080078125,741670500
2019-08-01,3426.760009765625,3491.159912109375,3239.199951171875,3458.010009765625,857706200
2019-09-01,3569.449951171875,3578.0400390625,3406.550048828125,3426.239990234375,778672500
2019-10-01,3604.409912109375,3637.93994140625,3398.639892578125,3573.080078125,843400000
2019-11-01,3703.580078125,3733.449951171875,3607.679931640625,3610.219970703125,713883000
2019-12-01,3745.14990234375,3794.929931640625,3594.800048828125,3703.760009765625,665270200
